"SCADA Log Entry:
Timestamp: 2022-01-19 07:57:06.631000
WindSpeed: 3.8 m/s
RotorSpeed: 57.2 rpm
GeneratorSpeed: 687.0 rpm
Power: 4.74 kW
GeneratorTemp: 28.0 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 18:05:39.172999
WindSpeed: 3.4 m/s
RotorSpeed: 50.7 rpm
GeneratorSpeed: 610.0 rpm
Power: 3.22 kW
GeneratorTemp: 41.5 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 06:20:32.992000
WindSpeed: 2.3 m/s
RotorSpeed: 35.5 rpm
GeneratorSpeed: 421.0 rpm
Power: 0.87 kW
GeneratorTemp: 15.9 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 10:07:56.958000
WindSpeed: 4.4 m/s
RotorSpeed: 62.6 rpm
GeneratorSpeed: 740.0 rpm
Power: 5.8 kW
GeneratorTemp: 52.2 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 13:20:03.688000
WindSpeed: 4.4 m/s
RotorSpeed: 65.5 rpm
GeneratorSpeed: 777.0 rpm
Power: 6.73 kW
GeneratorTemp: 48.1 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 08:09:57.323000
WindSpeed: 3.5 m/s
RotorSpeed: 44.3 rpm
GeneratorSpeed: 524.0 rpm
Power: 1.87 kW
GeneratorTemp: 25.4 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 03:25:29.705999
WindSpeed: 2.1 m/s
RotorSpeed: 31.6 rpm
GeneratorSpeed: 381.0 rpm
Power: 0.54 kW
GeneratorTemp: 13.1 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 07:56:37.571000
WindSpeed: 4.5 m/s
RotorSpeed: 60.8 rpm
GeneratorSpeed: 732.0 rpm
Power: 5.97 kW
GeneratorTemp: 27.7 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 18:02:50.787000
WindSpeed: 2.9 m/s
RotorSpeed: 47.9 rpm
GeneratorSpeed: 578.0 rpm
Power: 2.66 kW
GeneratorTemp: 42.2 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 13:18:30.424000
WindSpeed: 4.8 m/s
RotorSpeed: 64.0 rpm
GeneratorSpeed: 771.0 rpm
Power: 6.61 kW
GeneratorTemp: 48.6 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 09:35:26.184000
WindSpeed: 4.7 m/s
RotorSpeed: 66.9 rpm
GeneratorSpeed: 781.0 rpm
Power: 6.7 kW
GeneratorTemp: 53.2 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 07:38:49.312999
WindSpeed: 2.7 m/s
RotorSpeed: 38.9 rpm
GeneratorSpeed: 472.0 rpm
Power: 1.31 kW
GeneratorTemp: 21.5 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 09:24:15.731000
WindSpeed: 3.4 m/s
RotorSpeed: 48.2 rpm
GeneratorSpeed: 572.0 rpm
Power: 2.47 kW
GeneratorTemp: 56.7 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 13:43:01.484000
WindSpeed: 3.2 m/s
RotorSpeed: 51.8 rpm
GeneratorSpeed: 636.0 rpm
Power: 3.59 kW
GeneratorTemp: 45.9 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 09:21:58.360999
WindSpeed: 6.2 m/s
RotorSpeed: 65.1 rpm
GeneratorSpeed: 784.0 rpm
Power: 6.78 kW
GeneratorTemp: 57.7 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 08:01:05.166000
WindSpeed: 4.0 m/s
RotorSpeed: 63.5 rpm
GeneratorSpeed: 758.0 rpm
Power: 6.63 kW
GeneratorTemp: 28.9 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 09:19:58.145999
WindSpeed: 5.9 m/s
RotorSpeed: 65.1 rpm
GeneratorSpeed: 777.0 rpm
Power: 6.72 kW
GeneratorTemp: 57.0 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 10:10:58.204000
WindSpeed: 3.8 m/s
RotorSpeed: 60.2 rpm
GeneratorSpeed: 721.0 rpm
Power: 5.36 kW
GeneratorTemp: 51.8 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 09:32:48.840000
WindSpeed: 5.3 m/s
RotorSpeed: 66.6 rpm
GeneratorSpeed: 788.0 rpm
Power: 6.8 kW
GeneratorTemp: 53.8 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 10:04:10.516999
WindSpeed: 4.0 m/s
RotorSpeed: 57.8 rpm
GeneratorSpeed: 686.0 rpm
Power: 4.46 kW
GeneratorTemp: 53.1 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 09:20:22.168000
WindSpeed: 5.7 m/s
RotorSpeed: 66.5 rpm
GeneratorSpeed: 782.0 rpm
Power: 6.79 kW
GeneratorTemp: 57.4 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 10:04:45.548999
WindSpeed: 3.5 m/s
RotorSpeed: 54.7 rpm
GeneratorSpeed: 637.0 rpm
Power: 3.43 kW
GeneratorTemp: 52.7 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 06:51:45.244000
WindSpeed: 2.7 m/s
RotorSpeed: 48.1 rpm
GeneratorSpeed: 576.0 rpm
Power: 2.7 kW
GeneratorTemp: 19.5 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 03:08:57.608000
WindSpeed: 2.1 m/s
RotorSpeed: 28.4 rpm
GeneratorSpeed: 343.0 rpm
Power: 0.26 kW
GeneratorTemp: 12.0 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 06:47:17.852999
WindSpeed: 2.7 m/s
RotorSpeed: 43.4 rpm
GeneratorSpeed: 528.0 rpm
Power: 2.04 kW
GeneratorTemp: 19.7 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 04:47:00.375000
WindSpeed: 2.1 m/s
RotorSpeed: 25.2 rpm
GeneratorSpeed: 309.0 rpm
Power: 0.14 kW
GeneratorTemp: 15.5 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 13:23:21.145999
WindSpeed: 5.4 m/s
RotorSpeed: 66.9 rpm
GeneratorSpeed: 789.0 rpm
Power: 6.84 kW
GeneratorTemp: 49.7 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 10:24:22.838000
WindSpeed: 2.1 m/s
RotorSpeed: 37.7 rpm
GeneratorSpeed: 453.0 rpm
Power: 1.03 kW
GeneratorTemp: 43.2 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 13:34:21.417999
WindSpeed: 4.7 m/s
RotorSpeed: 65.3 rpm
GeneratorSpeed: 779.0 rpm
Power: 6.74 kW
GeneratorTemp: 45.6 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 13:15:12.980999
WindSpeed: 4.9 m/s
RotorSpeed: 67.0 rpm
GeneratorSpeed: 773.0 rpm
Power: 6.49 kW
GeneratorTemp: 49.8 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 09:17:23.927000
WindSpeed: 5.8 m/s
RotorSpeed: 66.5 rpm
GeneratorSpeed: 790.0 rpm
Power: 6.81 kW
GeneratorTemp: 57.1 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 13:35:31.974000
WindSpeed: 3.7 m/s
RotorSpeed: 57.2 rpm
GeneratorSpeed: 686.0 rpm
Power: 4.75 kW
GeneratorTemp: 30.2 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 09:53:32.412000
WindSpeed: 5.0 m/s
RotorSpeed: 65.7 rpm
GeneratorSpeed: 789.0 rpm
Power: 6.83 kW
GeneratorTemp: 54.6 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 08:00:32.110000
WindSpeed: 4.6 m/s
RotorSpeed: 65.3 rpm
GeneratorSpeed: 776.0 rpm
Power: 7.08 kW
GeneratorTemp: 27.8 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-20 09:49:03.811000
WindSpeed: 5.7 m/s
RotorSpeed: 65.5 rpm
GeneratorSpeed: 780.0 rpm
Power: 6.76 kW
GeneratorTemp: 51.0 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 08:32:58.823000
WindSpeed: 2.2 m/s
RotorSpeed: 33.3 rpm
GeneratorSpeed: 395.0 rpm
Power: 0.63 kW
GeneratorTemp: 23.2 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 06:58:48.060000
WindSpeed: 2.5 m/s
RotorSpeed: 40.7 rpm
GeneratorSpeed: 483.0 rpm
Power: 1.48 kW
GeneratorTemp: 22.4 °C
---"
"SCADA Log Entry:
Timestamp: 2022-01-19 06:57:40.924000
WindSpeed: 3.5 m/s
RotorSpeed: 45.1 rpm
GeneratorSpeed: 544.0 rpm
Power: 2.22 kW
GeneratorTemp: 22.4 °C
---"
"SCADA Log Entry:
