RotorSpeed,GeneratorSpeed,GeneratorTemperature,WindSpeed,PowerOutput
57.2,687.0,28.0,3.8,4.74
50.7,610.0,41.5,3.4,3.22
35.5,421.0,15.9,2.3,0.87
62.6,740.0,52.2,4.4,5.8
65.5,777.0,48.1,4.4,6.73
44.3,524.0,25.4,3.5,1.87
31.6,381.0,13.1,2.1,0.54
60.8,732.0,27.7,4.5,5.97
47.9,578.0,42.2,2.9,2.66
64.0,771.0,48.6,4.8,6.61
66.9,781.0,53.2,4.7,6.7
38.9,472.0,21.5,2.7,1.31
48.2,572.0,56.7,3.4,2.47
51.8,636.0,45.9,3.2,3.59
65.1,784.0,57.7,6.2,6.78
63.5,758.0,28.9,4.0,6.63
65.1,777.0,57.0,5.9,6.72
60.2,721.0,51.8,3.8,5.36
66.6,788.0,53.8,5.3,6.8
57.8,686.0,53.1,4.0,4.46
66.5,782.0,57.4,5.7,6.79
54.7,637.0,52.7,3.5,3.43
48.1,576.0,19.5,2.7,2.7
28.4,343.0,12.0,2.1,0.26
43.4,528.0,19.7,2.7,2.04
25.2,309.0,15.5,2.1,0.14
66.9,789.0,49.7,5.4,6.84
37.7,453.0,43.2,2.1,1.03
65.3,779.0,45.6,4.7,6.74
67.0,773.0,49.8,4.9,6.49
66.5,790.0,57.1,5.8,6.81
57.2,686.0,30.2,3.7,4.75
65.7,789.0,54.6,5.0,6.83
65.3,776.0,27.8,4.6,7.08
65.5,780.0,51.0,5.7,6.76
33.3,395.0,23.2,2.2,0.63
40.7,483.0,22.4,2.5,1.48
45.1,544.0,22.4,3.5,2.22
57.9,689.0,48.2,3.5,4.48
48.9,592.0,52.7,3.1,2.86
48.2,580.0,28.0,3.1,2.75
37.1,440.0,27.0,2.8,0.97
57.2,691.0,55.3,3.8,4.64
33.2,403.0,13.1,2.1,0.71
52.8,638.0,49.6,3.0,3.64
37.9,445.0,20.6,2.7,1.04
60.2,720.0,49.8,3.8,5.38
32.7,388.0,21.4,2.6,0.57
32.8,393.0,20.1,2.4,0.66
65.3,777.0,48.1,4.4,6.73
47.8,572.0,22.2,3.8,2.57
65.2,750.0,54.1,4.8,5.97
32.6,376.0,16.1,2.4,0.48
60.9,748.0,52.8,4.2,6.16
53.3,636.0,53.1,3.3,3.52
43.3,510.0,30.3,2.7,1.59
54.6,653.0,46.5,3.4,3.9
42.7,493.0,20.6,2.7,1.51
36.1,436.0,22.2,2.5,0.99
62.8,742.0,51.4,4.6,5.8
33.2,392.0,24.1,2.3,0.58
52.2,604.0,22.3,3.9,3.03
49.7,608.0,51.4,2.8,3.15
63.0,735.0,52.1,3.9,5.57
65.4,762.0,44.8,4.6,6.26
63.5,763.0,56.9,4.0,6.37
50.2,605.0,47.0,3.3,3.05
50.7,604.0,21.1,3.3,3.11
64.5,774.0,56.9,4.9,6.67
37.3,448.0,41.4,2.4,1.06
65.1,774.0,27.7,5.0,7.0
31.4,375.0,11.5,2.3,0.49
65.8,781.0,45.7,5.9,6.75
66.3,788.0,53.8,5.0,6.77
63.9,763.0,53.8,5.7,6.37
38.2,451.0,21.4,2.5,1.05
46.3,540.0,44.9,2.3,1.93
39.3,456.0,46.4,2.3,1.07
66.4,774.0,51.3,5.2,6.43
46.6,557.0,25.2,4.5,2.32
48.0,573.0,51.5,2.5,2.49
61.8,726.0,53.8,4.3,5.32
47.8,571.0,47.2,3.7,2.46
30.9,370.0,20.2,2.2,0.48
65.0,779.0,53.3,4.6,6.73
36.5,441.0,17.9,2.2,0.98
41.4,500.0,29.4,2.2,1.61
67.0,783.0,49.8,5.2,6.78
33.1,397.0,23.3,2.1,0.62
64.1,750.0,36.6,4.4,6.22
35.2,421.0,26.4,2.6,0.8
34.9,420.0,33.4,2.5,0.78
65.4,773.0,51.5,4.8,6.56
60.0,722.0,51.3,4.3,5.42
35.8,428.0,22.0,2.7,0.9
33.6,400.0,21.5,2.7,0.67
65.2,783.0,57.5,5.0,6.8
47.7,582.0,51.7,2.7,2.72
60.6,738.0,54.6,4.0,5.82
65.2,785.0,52.2,4.4,6.8
37.1,445.0,22.1,2.6,1.07
30.1,362.0,21.5,2.2,0.41
32.0,382.0,16.2,2.4,0.53
45.5,555.0,34.5,3.3,2.25
49.5,585.0,56.7,3.8,2.67
39.0,474.0,17.7,2.4,1.4
55.3,676.0,49.8,3.4,4.4
44.5,509.0,34.4,3.2,1.57
43.1,522.0,36.3,2.5,1.98
55.9,684.0,37.1,3.5,4.75
58.6,703.0,27.1,5.1,5.19
