Timestamp,WindSpeed,RotorSpeed,GeneratorSpeed,Power,GeneratorTemp
2022-01-19 07:57:06.631000,3.8,57.2,687.0,4.74,28.0
2022-01-19 18:05:39.172999,3.4,50.7,610.0,3.22,41.5
2022-01-19 06:20:32.992000,2.3,35.5,421.0,0.87,15.9
2022-01-20 10:07:56.958000,4.4,62.6,740.0,5.8,52.2
2022-01-20 13:20:03.688000,4.4,65.5,777.0,6.73,48.1
2022-01-19 08:09:57.323000,3.5,44.3,524.0,1.87,25.4
2022-01-19 03:25:29.705999,2.1,31.6,381.0,0.54,13.1
2022-01-19 07:56:37.571000,4.5,60.8,732.0,5.97,27.7
2022-01-19 18:02:50.787000,2.9,47.9,578.0,2.66,42.2
2022-01-20 13:18:30.424000,4.8,64.0,771.0,6.61,48.6
2022-01-20 09:35:26.184000,4.7,66.9,781.0,6.7,53.2
2022-01-19 07:38:49.312999,2.7,38.9,472.0,1.31,21.5
2022-01-20 09:24:15.731000,3.4,48.2,572.0,2.47,56.7
2022-01-20 13:43:01.484000,3.2,51.8,636.0,3.59,45.9
2022-01-20 09:21:58.360999,6.2,65.1,784.0,6.78,57.7
2022-01-19 08:01:05.166000,4.0,63.5,758.0,6.63,28.9
2022-01-20 09:19:58.145999,5.9,65.1,777.0,6.72,57.0
2022-01-20 10:10:58.204000,3.8,60.2,721.0,5.36,51.8
2022-01-20 09:32:48.840000,5.3,66.6,788.0,6.8,53.8
2022-01-20 10:04:10.516999,4.0,57.8,686.0,4.46,53.1
2022-01-20 09:20:22.168000,5.7,66.5,782.0,6.79,57.4
2022-01-20 10:04:45.548999,3.5,54.7,637.0,3.43,52.7
2022-01-19 06:51:45.244000,2.7,48.1,576.0,2.7,19.5
2022-01-19 03:08:57.608000,2.1,28.4,343.0,0.26,12.0
2022-01-19 06:47:17.852999,2.7,43.4,528.0,2.04,19.7
2022-01-19 04:47:00.375000,2.1,25.2,309.0,0.14,15.5
2022-01-20 13:23:21.145999,5.4,66.9,789.0,6.84,49.7
2022-01-20 10:24:22.838000,2.1,37.7,453.0,1.03,43.2
2022-01-20 13:34:21.417999,4.7,65.3,779.0,6.74,45.6
2022-01-20 13:15:12.980999,4.9,67.0,773.0,6.49,49.8
2022-01-20 09:17:23.927000,5.8,66.5,790.0,6.81,57.1
2022-01-19 13:35:31.974000,3.7,57.2,686.0,4.75,30.2
2022-01-20 09:53:32.412000,5.0,65.7,789.0,6.83,54.6
2022-01-19 08:00:32.110000,4.6,65.3,776.0,7.08,27.8
2022-01-20 09:49:03.811000,5.7,65.5,780.0,6.76,51.0
2022-01-19 08:32:58.823000,2.2,33.3,395.0,0.63,23.2
2022-01-19 06:58:48.060000,2.5,40.7,483.0,1.48,22.4
2022-01-19 06:57:40.924000,3.5,45.1,544.0,2.22,22.4
2022-01-20 13:18:58.512000,3.5,57.9,689.0,4.48,48.2
2022-01-20 09:40:14.918000,3.1,48.9,592.0,2.86,52.7
2022-01-19 07:59:12.916999,3.1,48.2,580.0,2.75,28.0
2022-01-19 08:06:25.800999,2.8,37.1,440.0,0.97,27.0
2022-01-20 09:55:47.576999,3.8,57.2,691.0,4.64,55.3
2022-01-19 03:25:58.745999,2.1,33.2,403.0,0.71,13.1
2022-01-20 13:25:06.335000,3.0,52.8,638.0,3.64,49.6
2022-01-19 07:33:54.833999,2.7,37.9,445.0,1.04,20.6
2022-01-20 10:20:14.457999,3.8,60.2,720.0,5.38,49.8
2022-01-19 07:44:05.947000,2.6,32.7,388.0,0.57,21.4
2022-01-19 06:48:32.939000,2.4,32.8,393.0,0.66,20.1
2022-01-20 13:20:04.684000,4.4,65.3,777.0,6.73,48.1
2022-01-20 15:38:41.481999,2.2,39.6,471.0,1.2,37.9
2022-01-20 14:40:00.113999,4.3,62.1,749.0,6.08,43.1
2022-01-20 15:35:36.182000,3.2,54.6,659.0,4.01,37.4
2022-01-23 16:07:05.751,2.4,39.7,471.0,1.19,35.5
2022-01-20 17:08:28.960000,3.5,54.4,657.0,3.89,27.4
2022-01-20 14:14:20.092999,2.9,46.7,578.0,2.55,38.9
2022-01-23 17:01:41.392,3.1,47.6,566.0,2.4,29.4
2022-01-23 15:00:28.229,3.8,60.5,727.0,5.38,49.0
2022-01-20 13:54:37.758000,2.7,40.9,487.0,1.41,36.1
2022-01-23 15:12:03.971,4.8,64.8,778.0,6.76,53.9
2022-01-20 15:23:59.967000,4.7,66.2,779.0,6.7,41.5
2022-01-23 12:18:43.245,2.8,47.6,572.0,2.53,24.2
2022-01-23 13:41:43.577,4.1,54.5,638.0,3.49,44.2
2022-01-23 13:10:55.567,3.0,49.5,581.0,2.56,39.7
2022-01-20 14:19:55.715000,2.4,38.3,459.0,1.1,37.2
2022-01-23 15:58:26.625,2.7,44.7,533.0,1.88,38.3
2022-01-20 14:18:50.624000,4.3,62.8,743.0,5.93,36.7
2022-01-20 15:51:56.976999,2.7,42.5,520.0,1.87,32.0
2022-01-23 14:22:07.860,5.7,65.2,779.0,6.72,45.7
2022-01-23 12:44:20.361,2.9,42.7,514.0,1.77,27.1
2022-01-23 12:45:40.564,2.4,35.2,424.0,0.8,26.7
2022-01-23 17:21:06.732,2.8,44.7,533.0,1.96,28.6
2022-01-20 14:22:14.916000,3.2,52.1,632.0,3.55,36.7
2022-01-20 14:35:06.456000,3.4,58.2,696.0,4.76,39.8
2022-01-20 14:49:29.287000,5.7,65.3,784.0,6.77,42.1
2022-01-23 13:47:34.292,6.4,65.1,781.0,6.8,41.8
2022-01-23 12:06:21.939,2.3,40.1,481.0,1.36,24.2
2022-01-23 15:00:54.305,3.5,56.4,663.0,3.95,48.8
2022-01-23 11:58:38.900,3.0,47.5,568.0,2.42,22.7
2022-01-23 15:11:45.960,5.2,64.9,779.0,6.7,53.8
2022-01-20 14:07:59.428000,3.4,53.2,637.0,3.51,40.9
2022-01-20 15:17:19.990000,4.0,57.5,687.0,4.5,36.3
2022-01-20 15:12:11.431000,2.8,40.0,476.0,1.31,40.7
2022-01-23 10:52:43.047,3.2,43.3,518.0,1.77,17.9
2022-01-23 14:04:03.364,3.4,52.1,619.0,3.18,37.2
2022-01-23 14:36:19.648,3.9,52.0,615.0,3.06,49.0
2022-01-23 14:43:40.629,4.3,58.7,687.0,4.44,45.1
2022-01-23 13:59:12.776,3.4,53.3,640.0,3.61,40.6
2022-01-20 15:50:15.808000,2.6,41.1,484.0,1.37,32.5
2022-01-23 13:53:04.983,4.0,61.0,720.0,5.18,44.9
2022-01-23 12:24:58.975,2.9,46.2,558.0,2.26,26.7
2022-01-23 17:21:42.754,2.6,43.3,515.0,1.7,28.5
2022-01-23 15:34:51.896,3.2,50.7,606.0,2.99,48.0
2022-01-20 14:11:45.849999,4.0,59.0,718.0,5.38,38.8
2022-01-20 14:36:28.633999,4.7,65.5,779.0,6.72,41.4
2022-01-23 12:13:27.725,2.6,42.3,513.0,1.75,24.2
2022-01-20 14:09:14.574000,2.5,43.8,541.0,2.11,40.6
2022-01-23 16:21:05.124,2.4,41.1,495.0,1.49,32.6
2022-01-23 13:00:51.393,2.7,47.1,588.0,2.8,36.4
2022-01-23 13:55:54.357,4.0,57.2,681.0,4.44,43.0
2022-01-23 18:30:03.521,2.1,37.6,450.0,1.03,24.5
2022-01-23 20:21:08.319,2.4,42.5,507.0,1.64,24.1
2022-01-23 21:36:43.531,2.3,37.2,447.0,1.02,23.1
2022-01-24 15:14:13.156,2.1,37.8,455.0,1.07,19.6
2022-01-23 21:15:25.048,2.7,46.0,550.0,2.21,24.2
2022-01-24 14:44:50.462,2.2,39.7,475.0,1.27,19.3
2022-01-23 18:05:25.606,2.2,38.8,468.0,1.22,27.2
2022-01-24 15:00:48.411,2.1,29.9,357.0,0.32,18.8
2022-01-24 14:18:08.453,3.0,49.9,595.0,2.77,19.6
2022-01-24 14:14:41.002,2.2,39.3,472.0,1.22,18.7
2022-01-23 20:44:14.661,2.7,43.4,517.0,1.75,24.6
2022-01-23 20:05:45.745,2.7,44.7,531.0,1.95,23.7
2022-01-23 21:48:20.922,2.1,34.4,410.0,0.72,22.3
2022-01-23 20:29:42.095,2.3,40.0,476.0,1.27,23.8
2022-01-23 19:01:54.496,2.2,36.3,437.0,0.92,23.9
2022-01-23 21:41:31.160,2.4,38.5,460.0,1.17,22.5
2022-01-23 20:47:16.890,2.7,43.5,519.0,1.72,24.3
2022-01-23 20:41:24.333,2.5,43.9,525.0,1.75,24.5
2022-01-23 21:02:26.662,2.6,42.0,504.0,1.64,24.1
2022-01-24 17:10:47.979,2.1,33.6,392.0,0.5,18.5
2022-01-23 18:41:20.107,2.2,36.8,439.0,0.92,24.5
2022-01-23 20:49:50.237,2.6,44.4,536.0,2.03,24.3
2022-01-23 20:29:02.034,2.6,41.7,499.0,1.57,23.8
